Seq,Task Name,Description,Track,Week Band,Depends On (Seq),Backend Prerequisite,Priority,Time Estimate (h),Tags
17,ESM field surface — walk-in intake,"In-app intake used by ESMs at the centre: create candidate on their behalf, reuse capture flows (10–12) with ESM-assisted variants.",Mobile,Wk 3–5,"10,12",Intake-on-behalf API,urgent,10,"mobile,esm"
18,ESM field surface — monthly active-verification,"Verification checklist per territory: confirm each placed head still active; offline-tolerant, queued sync. Feeds billing — states must be unambiguous.",Mobile,Wk 9–11,17,Verification API,urgent,10,"mobile,esm,billing"
19,Push notifications & in-app inbox,"FCM registration, notification routing to screens, in-app inbox; templates arrive multilingual from backend.",Mobile,Wk 9–11,15,Notification service,high,10,"mobile,notifications"
20,Offline & queued submissions,"Queue-and-retry for all writes on 3G/patchy networks; visible pending/synced states; no silent data loss.",Mobile,Wk 9–11,"17,18",Idempotent write APIs,urgent,12,"mobile,offline"
21,Floor-device performance pass,"Cold start <4s on Android 8/2GB, lean install size, image-capture memory profile, list virtualisation.",Mobile,Wk 9–11,"13,14,15,19,20",,high,10,"mobile,perf"
22,ESM web — territory dashboard,"Candidates · placements · earnings overview for the centre lead; territory-scoped data only.",Web-ESM,Wk 6–8,"2,3",Territory-scoped candidate/placement APIs,urgent,12,"esm,dashboard"
23,ESM web — pipeline board,"Status workflow met → suitable → callback → placed → joined; drag/tap transitions with audit-logged changes.",Web-ESM,Wk 6–8,22,Pipeline state API,high,10,"esm,pipeline"
24,ESM web — requirements feed & matching,"Territory-matched contractor requirements, employer identity masked; forward/match candidates against a requirement.",Web-ESM,Wk 6–8,23,Requirements + matching APIs (masked reads),urgent,12,"esm,matching"
25,ESM web — win-back list,"Retention view: 'these N left this month — call them'; outcome capture per call.",Web-ESM,Wk 9–11,22,Attrition/win-back API,high,6,"esm,retention"
26,ESM web — earnings & payout tracker,"Month-on-month per-active-head earnings, payout status, statement history. Figures rendered from billing engine only.",Web-ESM,Wk 9–11,22,Payout/billing APIs,urgent,8,"esm,billing"
27,Contractor — post requirement,"Requirement form: role, headcount, location, salary range, terms; edit/close lifecycle.",Web-Contractor,Wk 6–8,"2,3",Requirement CRUD API,urgent,8,"contractor"
28,Contractor — matched candidates,"Scored candidate list per requirement (identity-appropriate fields only, employer masked from their reads where applicable); accept/reject actions.",Web-Contractor,Wk 6–8,27,Matching + scoring APIs,urgent,10,"contractor,matching"
29,Contractor — headcount & joining tracker,"Supplied headcount vs joined vs active per requirement over time.",Web-Contractor,Wk 9–11,28,Placement status API,high,6,"contractor"
30,Contractor — invoices & statements,"Monthly invoices (per active head), line items, status (raised/collected/overdue), downloadable statements.",Web-Contractor,Wk 9–11,29,Invoice API,urgent,8,"contractor,billing"
31,Admin shell & RBAC-gated navigation,"Admin console frame with sub-role gating (Reviewer/Ops/Finance/ESM Mgr/Sales). UI gating is UX only — server enforces; hide what the role can't touch.",Web-Admin,Wk 3–5,"2,3",RBAC claims in session,urgent,10,"admin,rbac"
32,Reviewer — candidate approval gate,"Side-by-side: source document image vs parsed fields vs score; edit any field, adjust score, approve/reject. Every override logged. The parser's safety net — highest-traffic admin screen early.",Web-Admin,Wk 3–5,31,Parser output + override APIs,urgent,16,"admin,review"
33,Ops — scoring presets config,"Weight editor per job category (must sum to 100%), preview against sample candidates, version history.",Web-Admin,Wk 6–8,31,Preset config API,high,8,"admin,scoring"
34,Admin — entity management,"CRUD/list/search over candidates, ESMs, contractors, requirements with sub-role scoping.",Web-Admin,Wk 6–8,31,Entity APIs,high,12,"admin"
35,Ops — matching oversight,"View/adjust matches across territories; reassign; exception queue.",Web-Admin,Wk 6–8,34,Matching admin API,high,8,"admin,matching"
36,Finance — billing & payouts,"Invoice runs, collections status, reconciliation view, ESM payout runs with approval step. Manual-assisted at R1 — the UI is the workflow.",Web-Admin,Wk 9–11,34,Billing engine APIs,urgent,14,"admin,billing"
37,Admin — reports & basic analytics,"R1 basics: placements, active heads, collections, parser accuracy/override rate, territory funnel.",Web-Admin,Wk 9–11,36,Reporting endpoints,normal,8,"admin,analytics"
38,Admin — audit log viewer,"Scoped append-only audit browser incl. masked-employer-field read events (bypass detection) with anomaly filters.",Web-Admin,Wk 9–11,31,Audit query API,high,8,"admin,audit"
39,Super Admin — config suite,"RBAC editor, system config (languages/pricing/billing rules), territory setup, feature flags, language-pack editor (edit strings without release).",Web-Admin,Wk 9–11,31,Config APIs,high,14,"admin,superadmin"
40,R1 hardening pass — all surfaces,"Error/empty/loading states everywhere, masked-field leak check on every ESM/Contractor view, session-expiry behaviour, pilot-readiness QA.",Shared,Wk 11,"21,24,26,30,36,38",,urgent,16,"qa,release"
41,Multilingual QA — Kannada & Hindi,"Native-speaker pass on every candidate-app string and voice prompt; per-language structured test scripts; layout breakage from long strings.",Mobile,Wk 12–14,40,Final language packs + voice assets,urgent,12,"qa,i18n"
42,R2 polish — mobile,"Full voice coverage, notification polish, perf regression check, store-listing assets.",Mobile,Wk 12–14,41,,high,10,"release,mobile"
43,R2 polish — portals & full analytics,"Portal polish, full analytics dashboards, billing-automation UI states (auto-run + exception handling replacing manual-assisted).",Shared,Wk 12–14,40,Automated billing engine,high,12,"release,analytics"
